year,month,state,revenue,handle,hold,taxes,population,poverty,unemployed,med_income,online,in_person,handle_capita,tax_rate,unemployment_rate,poverty_rate,tax_group
2018,0.0,Alabama,0.0,0.0,0.0,0.0,4.763828,0.800422,0.124054,31962.0,0.0,0.0,0.0,0.0,2.6040822632555165,16.802075977554182,Low
2019,0.0,Alabama,0.0,0.0,0.0,0.0,4.754288,0.795989,0.129829,31962.0,0.0,0.0,0.0,0.0,2.7307769323187827,16.74254904204373,Low
2020,0.0,Alabama,0.0,0.0,0.0,0.0,4.771614,0.762642,0.123105,32080.0,0.0,0.0,0.0,0.0,2.5799446476601005,15.98289383843706,Low
2021,0.0,Alabama,0.0,0.0,0.0,0.0,4.920613,0.794326,0.122512,34925.0,0.0,0.0,0.0,0.0,2.4897710915286364,16.14282610723501,Low
2018,0.0,Alaska,0.0,0.0,0.0,0.0,0.720869,0.07862,0.025392,40334.0,0.0,0.0,0.0,0.0,3.52241530708076,10.906281168977996,Low
2019,0.0,Alaska,0.0,0.0,0.0,0.0,0.719376,0.076933,0.026715,40334.0,0.0,0.0,0.0,0.0,3.7136351504637353,10.694407375280798,Low
2020,0.0,Alaska,0.0,0.0,0.0,0.0,0.719445,0.074369,0.026291,40471.0,0.0,0.0,0.0,0.0,3.654344668459715,10.33699587876766,Low
2021,0.0,Alaska,0.0,0.0,0.0,0.0,0.716769,0.075165,0.024603,41962.0,0.0,0.0,0.0,0.0,3.4324866170272434,10.486642139936295,Low
2018,0.0,Arizona,0.0,0.0,0.0,0.0,7.013444,0.983499,0.178702,34397.0,1.0,1.0,0.0,0.0,2.547992113432431,14.023053438510384,Low
2019,0.0,Arizona,0.0,0.0,0.0,0.0,6.891224,1.043764,0.19256,34397.0,1.0,1.0,0.0,0.0,2.7942786361319847,15.146278803301124,Low
2020,0.0,Arizona,0.0,0.0,0.0,0.0,7.012999,0.990528,0.196249,34302.0,1.0,1.0,0.0,0.0,2.798360587246626,14.124171413684786,Low
2021,9.0,Arizona,31.238322,291.212868,0.11,0.031393,7.12693,0.908961,0.202345,39023.0,1.0,1.0,40.86091318421817,0.1004951546373073,2.839160760664129,12.753892629785897,Low
2021,10.0,Arizona,36.326542,486.097352,0.07,1.022841,7.12693,0.908961,0.202345,39023.0,1.0,1.0,68.20571438192883,2.815685016206607,2.839160760664129,12.753892629785897,Low
2021,11.0,Arizona,51.416143,466.725687,0.11,3.177148,7.12693,0.908961,0.202345,39023.0,1.0,1.0,65.48762047613769,6.179281086875769,2.839160760664129,12.753892629785897,Low
