year,state,population,poverty,unemployed
70,Alabama,4763828,800422,124054
70,Alaska,720869,78620,25392
70,Arizona,7013444,983499,178702
70,Arkansas,2925448,504504,60796
70,California,38818454,4969326,1093170
70,Colorado,5577020,537492,119541
70,Connecticut,3468263,361377,105592
70,Delaware,940786,117242,27708
70,District of Columbia,669031,108055,30539
70,Florida,20882651,2840977,524638
70,Georgia,10238658,1468642,244100
70,Hawaii,1382448,122143,27155
70,Idaho,1723154,203264,32923
70,Illinois,12447271,1509247,364946
70,Indiana,6489261,852638,146407
70,Iowa,3055939,343504,58096
70,Kansas,2825680,338175,54771
70,Kentucky,4326305,730408,107132
70,Louisiana,4529028,843626,135546
70,Maine,1301941,151541,24209
70,Maryland,5899819,528203,157693
70,Massachusetts,6665083,663918,171717
70,Michigan,9774124,1373349,261638
70,Minnesota,5488344,529077,101932
70,Mississippi,2886448,567645,94252
70,Missouri,5943658,786330,127311
70,Montana,1037462,135114,18605
70,Nebraska,1875342,206341,34018
70,Nevada,2991978,387327,85170
70,New Hampshire,1312006,100220,25850
70,New Jersey,8739304,832133,229342
70,New Mexico,2051759,399456,55741
70,New York,19037564,2591391,488737
70,North Carolina,10100431,1417873,250339
70,North Dakota,736671,78676,10729
70,Ohio,11362304,1578673,285599
70,Oklahoma,3825027,596949,79051
70,Oregon,4113142,516570,105038
70,Pennsylvania,12394000,1517870,315071
70,Rhode Island,1016469,131205,29378
70,South Carolina,4944754,755215,126468
70,South Dakota,852419,111626,13283
70,Tennessee,6603013,1011016,178702
70,Texas,28074573,4180675,685891
70,Utah,3110944,280773,49428
70,Vermont,601261,66013,12865
70,Virginia,8264095,884647,177948
70,Washington,7400557,759013,162439
70,West Virginia,1753476,312188,44368
70,Wisconsin,5665153,625826,96201
70,Wyoming,563374,62301,11135
70,Puerto Rico,3165711,1363666,177920
70,Alabama,4754288,795989,129829
70,Alaska,719376,76933,26715
70,Arizona,6891224,1043764,192560
70,Arkansas,2910954,496260,69264
70,California,38535926,5149742,1183956
70,Colorado,5489133,565873,128881
70,Connecticut,3470087,344146,115034
70,Delaware,930764,109400,26343
70,District of Columbia,659676,107140,26788
70,Florida,20481252,2870487,557117
70,Georgia,10130335,1528558,285725
70,Hawaii,1384184,130649,29677
70,Idaho,1686285,221256,35331
70,Illinois,12474842,1557873,391466
70,Indiana,6461389,867996,158828
70,Iowa,3040184,348122,60064
70,Kansas,2826056,337739,58609
70,Kentucky,4309501,747010,114572
70,Louisiana,4532714,871467,139523
70,Maine,1298787,153131,28152
70,Maryland,5876434,539991,162795
70,Massachusetts,6615375,680962,175839
70,Michigan,9741628,1398527,289539
70,Minnesota,5440087,526065,107972
70,Mississippi,2886767,585786,98813
70,Missouri,5922570,810045,138611
70,Montana,1025221,134605,20934
70,Nebraska,1859691,206579,32935
70,Nevada,2929882,384690,92315
70,New Hampshire,1305013,98682,26732
70,New Jersey,8706202,869081,256724
70,New Mexico,2049986,392065,62744
70,New York,19063180,2681277,538905
70,North Carolina,9984891,1467591,276209
70,North Dakota,732326,78198,10727
70,Ohio,11331030,1588343,307102
70,Oklahoma,3817368,598373,93094
70,Oregon,4052019,533527,112660
70,Pennsylvania,12380284,1539183,341016
70,Rhode Island,1016506,125826,29556
70,South Carolina,4877884,741650,136930
70,South Dakota,841207,110553,15179
70,Tennessee,6542792,996930,169914
70,Texas,27637858,4072194,699858
70,Utah,3048871,298537,54776
70,Vermont,599618,65652,11703
70,Virginia,8201608,865691,196047
70,Washington,7266810,785244,183334
70,West Virginia,1765715,310044,50775
70,Wisconsin,5642353,639160,109809
70,Wyoming,566918,62257,13173
70,Puerto Rico,3289522,1449091,196631
70,Alabama,4771614,762642,123105
70,Alaska,719445,74369,26291
70,Arizona,7012999,990528,196249
70,Arkansas,2923585,470190,70352
70,California,38589882,4853434,1213692
70,Colorado,5563823,544232,140103
70,Connecticut,3466935,339156,114800
70,Delaware,941266,107641,28136
70,District of Columbia,669089,103391,28240
70,Florida,20793628,2772939,551884
70,Georgia,10238369,1461572,286519
70,Hawaii,1381577,127971,31628
70,Idaho,1722972,205676,35377
70,Illinois,12418504,1488670,391490
70,Indiana,6491632,838149,157609
70,Iowa,3051284,339090,63416
70,Kansas,2828498,323644,59162
70,Kentucky,4322881,717895,111046
70,Louisiana,4532187,845230,140817
70,Maine,1304038,144384,27833
70,Maryland,5894835,531553,166004
70,Massachusetts,6637329,653454,186199
70,Michigan,9753541,1337256,294030
70,Minnesota,5476956,511185,114124
70,Mississippi,2883074,564439,94583
70,Missouri,5942813,772992,137726
70,Montana,1036490,132476,21921
70,Nebraska,1869467,193820,33496
70,Nevada,2987817,381695,100076
70,New Hampshire,1312770,97418,27798
70,New Jersey,8713792,842704,270216
70,New Mexico,2053909,381026,61802
70,New York,19009098,2581048,561027
70,North Carolina,10098330,1411939,273393
70,North Dakota,735842,77491,12189
70,Ohio,11350378,1546011,306659
70,Oklahoma,3833712,585520,93563
70,Oregon,4096744,506558,114288
70,Pennsylvania,12387061,1480430,345120
70,Rhode Island,1017028,117785,30378
70,South Carolina,4950181,726470,132754
70,South Dakota,849910,108863,15719
70,Tennessee,6603468,965213,174680
70,Texas,28013446,3984260,744366
70,Utah,3102049,283360,56868
70,Vermont,599938,64700,12334
70,Virginia,8255575,826708,198413
70,Washington,7372433,751044,184403
70,West Virginia,1755591,300152,50878
70,Wisconsin,5659485,620947,108040
70,Wyoming,566858,61006,12805
70,Puerto Rico,3227457,1400958,181802
70,Alabama,4920613,794326,122512
70,Alaska,716769,75165,24603
70,Arizona,7126930,908961,202345
70,Arkansas,2944289,480153,76731
70,California,38481790,4733036,1633786
70,Colorado,5696140,553272,166282
70,Connecticut,3506226,354166,126976
70,Delaware,978675,113450,27025
70,District of Columbia,637491,105007,30569
70,Florida,21368535,2805433,588343
70,Georgia,10529506,1476348,290915
70,Hawaii,1402392,156735,52548
70,Idaho,1868374,205702,30574
70,Illinois,12380582,1498523,476511
70,Indiana,6608427,803021,158914
70,Iowa,3100317,344696,58401
70,Kansas,2854624,333518,62933
70,Kentucky,4379845,721878,113046
70,Louisiana,4501071,883236,161478
70,Maine,1338019,154117,33767
70,Maryland,6023847,618372,191438
70,Massachusetts,6748410,700138,248174
70,Michigan,9847403,1286329,338461
70,Minnesota,5587189,519731,148637
70,Mississippi,2861627,554152,83862
70,Missouri,5999824,761311,141353
70,Montana,1079864,128123,21453
70,Nebraska,1914212,205852,26677
70,Nevada,3103176,437385,152811
70,New Hampshire,1348892,97403,27694
70,New Jersey,9093135,930602,392896
70,New Mexico,2076524,382798,73811
70,New York,19329338,2688587,875592
70,North Carolina,10285053,1378621,296795
70,North Dakota,752033,83350,10914
70,Ohio,11470517,1536524,317278
70,Oklahoma,3877776,606782,111030
70,Oregon,4166362,507829,134819
70,Pennsylvania,12571365,1519032,414134
70,Rhode Island,1052091,120055,43936
70,South Carolina,5063148,741652,137567
70,South Dakota,867039,106548,12341
70,Tennessee,6811613,927587,178828
70,Texas,28933638,4122538,904662
70,Utah,3290444,281673,58935
70,Vermont,621338,63720,14009
70,Virginia,8401227,854145,208399
70,Washington,7599960,754315,229245
70,West Virginia,1734876,291930,47473
70,Wisconsin,5754788,621125,108419
70,Wyoming,565760,64224,10736
70,Puerto Rico,3235303,1310464,163354
