handle,revenue,hold,taxes/jurisdiction_revenue,state,month,year
291212868,31238322,0.11,31393,Arizona,09,2021
486097352,36326542,0.07,1022841,Arizona,10,2021
466725687,51416143,0.11,3177148,Arizona,11,2021
499213733,39822928,0.08,1723902,Arizona,12,2021
563694591,41890200,0.07,1952971,Arizona,01,2022
491665554,25629835,0.05,670686,Arizona,02,2022
690979294,37231646,0.05,1864457,Arizona,03,2022
512877848,29249275,0.06,1647450,Arizona,04,2022
461450688,55162888,0.12,4125125,Arizona,05,2022
318774198,15369245,0.05,766831,Arizona,06,2022
290511533,21992628,0.08,1496427,Arizona,07,2022
361008835,37161759,0.1,2767590,Arizona,08,2022
537966149,56428816,0.1,3058838,Arizona,09,2022
416160,76885,0.18,9995,Arkansas,07,2019
778249,58858,0.08,7652,Arkansas,08,2019
2252196,183044,0.08,23796,Arkansas,09,2019
2216369,380006,0.17,49401,Arkansas,10,2019
2978235,181497,0.06,23595,Arkansas,11,2019
2633806,455368,0.17,59198,Arkansas,12,2019
2587732,254811,0.1,33263,Arkansas,01,2020
4294366,411589,0.1,67494,Arkansas,02,2020
1588403,222373,0.14,38310,Arkansas,03,2020
2147777,205799,0.1,33747,Arkansas,04,2020
509,-115000,-225.93,-15,Arkansas,05,2020
1189,10,0.01,1,Arkansas,06,2020
179315,-19633,-0.11,-2552,Arkansas,07,2020
1008992,69625,0.07,9051,Arkansas,08,2020
3958748,397095,0.1,51622,Arkansas,09,2020
6559859,940514,0.14,122267,Arkansas,10,2020
6288249,975984,0.16,126878,Arkansas,11,2020
6415446,1054272,0.16,137055,Arkansas,12,2020
7187194,1388258,0.19,180474,Arkansas,01,2021
4469442,655356,0.15,92922,Arkansas,02,2021
5947427,807091,0.14,130877,Arkansas,03,2021
4065703,761536,0.19,131137,Arkansas,04,2021
3687207,498325,0.14,81710,Arkansas,05,2021
3895683,359000,0.09,59088,Arkansas,06,2021
2908833,449040,0.15,58375,Arkansas,07,2021
2892285,310481,0.11,40363,Arkansas,08,2021
7007774,809404,0.12,105223,Arkansas,09,2021
9506183,803557,0.08,104464,Arkansas,10,2021
8380191,1623435,0.19,211047,Arkansas,11,2021
7794292,47599,0.01,6188,Arkansas,12,2021
8415932,1181335,0.14,153574,Arkansas,01,2022
5876444,331001,0.06,61390,Arkansas,02,2022
10686501,791848,0.07,119671,Arkansas,03,2022
8598226,749811,0.09,120297,Arkansas,04,2022
10185647,583015,0.06,117426,Arkansas,05,2022
12632207,4045,0.0,12598,Arkansas,06,2022
9290467,854436,0.09,85172,Arkansas,07,2022
10195911,1015340,0.1,94992,Arkansas,08,2022
21185547,3208032,0.15,417044,Arkansas,09,2022
26879107,2793719,0.1,363184,Arkansas,10,2022
25621762,2565729,0.1,96538,Colorado,05,2020
38136949,3484014,0.09,217023,Colorado,06,2020
59183620,5196599,0.09,241867,Colorado,07,2020
128646209,7519599,0.06,189462,Colorado,08,2020
207655943,4166334,0.02,69772,Colorado,09,2020
210719821,17402409,0.08,824700,Colorado,10,2020
231238842,18354655,0.08,793820,Colorado,11,2020
284551472,17151867,0.06,531490,Colorado,12,2020
326903462,23144535,0.07,1195774,Colorado,01,2021
266549207,10444810,0.04,332227,Colorado,02,2021
300990842,20365119,0.07,1060854,Colorado,03,2021
244446760,17563939,0.07,1082611,Colorado,04,2021
248968193,15154761,0.06,635641,Colorado,05,2021
229764688,19730957,0.09,1186455,Colorado,06,2021
181327995,15652461,0.09,999111,Colorado,07,2021
211918185,15228343,0.07,726366,Colorado,08,2021
408314625,22658630,0.06,483048,Colorado,09,2021
491453342,28616708,0.06,1246804,Colorado,10,2021
475441229,36781848,0.08,1981640,Colorado,11,2021
461448574,24732497,0.05,770370,Colorado,12,2021
573720213,34640219,0.06,1447952,Colorado,01,2022
440508421,19604490,0.04,314731,Colorado,02,2022
505611080,28238194,0.06,1313076,Colorado,03,2022
392311737,22571887,0.06,1231742,Colorado,04,2022
360325438,27119329,0.08,1659189,Colorado,05,2022
313215081,6781092,0.02,268280,Colorado,06,2022
258414808,20802881,0.08,1092162,Colorado,07,2022
290107970,25859270,0.09,1822104,Colorado,08,2022
450232597,51339659,0.11,2989342,Colorado,09,2022
526619777,36514974,0.07,2330705,Colorado,10,2022
54641474,4903171,0.09,483704,Connecticut,10,2021
131729179,16655205,0.13,596018,Connecticut,11,2021
150073755,8879733,0.06,929336,Connecticut,12,2021
158092481,11187162,0.07,1142510,Connecticut,01,2022
115619953,4749489,0.04,501516,Connecticut,02,2022
140747137,9785420,0.07,1037570,Connecticut,03,2022
116465199,9235020,0.08,988263,Connecticut,04,2022
115180155,9353193,0.08,981304,Connecticut,05,2022
95421852,6615570,0.07,669453,Connecticut,06,2022
78316775,7552734,0.1,859094,Connecticut,07,2022
80037045,9896264,0.12,1153125,Connecticut,08,2022
130547719,16676506,0.13,1777391,Connecticut,09,2022
164170106,15499673,0.09,1736473,Connecticut,10,2022
7003725,875216,0.12,437609,Delaware,06,2018
8214765,461226,0.06,230614,Delaware,07,2018
8018354,822737,0.1,457984,Delaware,08,2018
23257965,5971961,0.26,4118974,Delaware,09,2018
21231427,1640593,0.08,1299481,Delaware,10,2018
24206090,1608337,0.07,998477,Delaware,11,2018
23419539,4272221,0.18,2989387,Delaware,12,2018
14130069,2094840,0.15,1311863,Delaware,01,2019
8709205,-475771,-0.05,-438047,Delaware,02,2019
10483128,1643043,0.16,821072,Delaware,03,2019
6088183,614839,0.1,307046,Delaware,04,2019
5920766,405295,0.07,202247,Delaware,05,2019
6325464,466018,0.07,232733,Delaware,06,2019
3920974,507199,0.13,253516,Delaware,07,2019
4745747,493106,0.1,241770,Delaware,08,2019
18781406,4425640,0.24,3123828,Delaware,09,2019
16066023,3388776,0.21,2358625,Delaware,10,2019
16850854,3014648,0.18,2167507,Delaware,11,2019
20466561,2972118,0.15,2032440,Delaware,12,2019
11187011,1995980,0.18,1190481,Delaware,01,2020
7279650,-303120,-0.04,-337668,Delaware,02,2020
3877068,570442,0.15,284802,Delaware,03,2020
209282,12114,0.06,6058,Delaware,07,2020
2957634,367116,0.12,183559,Delaware,08,2020
12439302,1972198,0.16,1402669,Delaware,09,2020
17086034,3483045,0.2,2534638,Delaware,10,2020
19510093,5901515,0.3,4437584,Delaware,11,2020
15696681,3097115,0.2,2341189,Delaware,12,2020
15649254,2491097,0.16,1553487,Delaware,01,2021
7519710,595680,0.08,254200,Delaware,02,2021
6666115,965419,0.14,482174,Delaware,03,2021
5470520,894231,0.16,446688,Delaware,04,2021
7060911,677441,0.1,338232,Delaware,05,2021
5958137,644366,0.11,321634,Delaware,06,2021
4110581,633084,0.15,316107,Delaware,07,2021
5251471,453642,0.09,224174,Delaware,08,2021
13702755,3202534,0.23,2341630,Delaware,09,2021
22238321,3102694,0.14,2319322,Delaware,10,2021
15567067,4567120,0.29,3391917,Delaware,11,2021
12638955,-968520,-0.08,-992897,Delaware,12,2021
12637103,1914283,0.15,1418276,Delaware,01,2022
5435407,54281,0.01,9544,Delaware,02,2022
5157583,552033,0.11,55522,Delaware,03,2022
4200298,313266,0.07,66638,Delaware,04,2022
5127275,494697,0.1,264955,Delaware,05,2022
3507846,211921,0.06,105622,Delaware,06,2022
2678686,438549,0.16,191432,Delaware,07,2022
2902652,429732,0.15,191634,Delaware,08,2022
8948981,2785652,0.31,2144155,Delaware,09,2022
13545163,2463694,0.18,1841226,Delaware,10,2022
10172819,1530355,0.15,1119178,Delaware,11,2022
997739,72028,0.07,12242,Illinois,03,2020
31348819,2577170,0.08,852400,Illinois,04,2020
31348819,2577170,0.08,852400,Illinois,05,2020
8281803,368651,0.04,59446,Illinois,06,2020
52524820,3623985,0.07,585623,Illinois,07,2020
140065649,7233360,0.05,1176754,Illinois,08,2020
305222938,6837289,0.02,1107906,Illinois,09,2020
434567103,42200300,0.1,6807284,Illinois,10,2020
449239162,41286027,0.09,6618259,Illinois,11,2020
491720536,23873152,0.05,3823629,Illinois,12,2020
581553300,47945298,0.08,7670847,Illinois,01,2021
509794592,35393768,0.07,5850897,Illinois,02,2021
633614957,44317702,0.07,6647655,Illinois,03,2021
537158723,43605926,0.08,7068029,Illinois,04,2021
507279761,36230990,0.07,5854318,Illinois,05,2021
476517309,48187783,0.1,7684748,Illinois,06,2021
369134820,37292354,0.1,5641739,Illinois,07,2021
400359760,26849155,0.07,4380802,Illinois,08,2021
596455694,44579564,0.07,6450627,Illinois,09,2021
840440436,48316644,0.06,8459764,Illinois,10,2021
779853367,78227189,0.1,12693515,Illinois,11,2021
789600348,36677208,0.05,5436664,Illinois,12,2021
867505495,59343378,0.07,10687455,Illinois,01,2022
679374199,35600085,0.05,5774214,Illinois,02,2022
971278389,60629327,0.06,9865117,Illinois,03,2022
839386882,70462360,0.08,11321487,Illinois,04,2022
764591757,67466567,0.09,10910011,Illinois,05,2022
628459522,40866946,0.07,6685826,Illinois,06,2022
516414719,46080136,0.09,7452992,Illinois,07,2022
564837409,47788940,0.08,7739911,Illinois,08,2022
831805990,78416646,0.09,12667631,Illinois,09,2022
1029560184,102088548,0.1,16475576,Illinois,10,2022
35215416,8558974,0.24,813103,Indiana,09,2019
91697393,11538533,0.13,1096161,Indiana,10,2019
147276912,10593321,0.07,1006365,Indiana,11,2019
161808924,12068114,0.07,1146471,Indiana,12,2019
171049250,12223222,0.07,1161206,Indiana,01,2020
187186221,10381954,0.06,986286,Indiana,02,2020
74818802,5495640,0.07,522085,Indiana,03,2020
26304128,1559884,0.06,148189,Indiana,04,2020
37334940,3179968,0.09,302097,Indiana,05,2020
29783580,2922108,0.1,277601,Indiana,06,2020
70876622,6658465,0.09,632554,Indiana,07,2020
